大学六级-乱序5500,
ornament,n. 装饰；[建][服装] 装饰物；教堂用品vt. 装饰，修饰
apprehension,n. 理解；恐惧；逮捕；忧惧
indicative,adj. 象征的；指示的；表示…的n. 陈述语气；陈述语气的动词形式
hinder,vi. 成为阻碍vt. 阻碍；打扰adj. 后面的n. (Hinder)人名；(芬)欣德
municipal,adj. 市政的，市的；地方自治的
statue,n. 雕像，塑像vt. 以雕像装饰
emerge,vi. 浮现；摆脱；暴露
spider,n. 蜘蛛；设圈套者；三脚架
cloth,n. 布；织物；桌布adj. 布制的n. (Cloth)人名；(德)克洛特
drop,v. 推动；帮助；宣扬；下降；终止n. 滴；落下；空投；微量；滴剂
accord,n. 符合；一致；协议；自愿vt. 使一致；给予vi. 符合；一致
underline,vt. 强调；在…下面划线；预告n. 下划线；下期节目预告
plateau,n. 高原；稳定水平；托盘；平顶女帽vi. 达到平衡；达到稳定时期
commonwealth,n. 联邦；共和国；国民整体
vicinity,n. 邻近，附近；近处
corporate,adj. 法人的；共同的，全体的；社团的；公司的；企业的
characterize,vt. 描绘…的特性；具有…的特征vi. 塑造人物
healthy,adj. 健康的，健全的；有益于健康的
horror,n. 惊骇；惨状；极端厌恶；令人恐怖的事物
update,vt. 更新；校正，修正；使现代化n. 更新；现代化
effort,n. 努力；成就
dialect,n. 方言，土话；同源语；行话；个人用语特征adj. 方言的
advocate,v. 提倡，拥护；为……辩护n. 拥护者；辩护者；辩护律师，出庭律师；律师；为（某团体）谋利益者
father,n. 父亲，爸爸；神父；祖先；前辈vt. 发明，创立；当…的父亲
word,n. [语] 单词；话语；消息；诺言；命令vt. 用言辞表达n. (Word)人名；(英)沃德
discrete,adj. 离散的，不连续的n. 分立元件；独立部件
deny,vt. 否定，否认；拒绝给予；拒绝…的要求vi. 否认；拒绝
digest,vt. 消化；吸收；融会贯通vi. 消化n. 文摘；摘要
physical,adj. 物理的；身体的；物质的；根据自然规律的，符合自然法则的n. 体格检查
spectacular,adj. 壮观的，惊人的；公开展示的
weave,vt. 编织；编排；使迂回前进vi. 纺织；编成；迂回行进n. 织物；织法；编织式样
eloquent,adj. 意味深长的；雄辩的，有口才的；有说服力的；动人的
eve,n. 夏娃； 前夕；傍晚；重大事件关头
yoke,n. 轭；束缚；牛轭vt. 结合；给…上轭vi. 结合；匹配n. (Yoke)人名；(日)与家(姓)
settle,vi. 解决；定居；沉淀；下陷vt. 解决；安排；使…定居n. 有背长椅n. (Settle)人名；(英)塞特尔
radiant,adj. 辐射的；容光焕发的；光芒四射的n. 光点；发光的物体
district,n. 区域；地方；行政区
cradle,n. 摇篮；发源地；发祥地；支船架vt. 抚育；把...搁在支架上；把...放在摇篮内
temper,n. 脾气；（钢等）回火；性情；倾向vt. 使回火；锻炼；调和；使缓和vi. 回火；调和
stab,vt. 刺；刺伤；戳；刺穿；直入vi. 刺；刺伤；戳；刺痛n. 刺；戳；尝试；突发的一阵n. (Stab)人名；(泰)萨达
work,"n.工作,劳动,操作,职业,[物]功,手工,作品,机件v.(使)工作,(使)运转,起作用,造成,产生,经营,(使)渐渐移动,煅制"
empty,adj. 空的；无意义的；无知的；徒劳的vt. 使失去；使......成为空的vi. 成为空的；流空n. 空车；空的东西
mix,"v.使混和,混淆,混合n.混合"
Oceania,n. 大洋洲
clumsy,adj. 笨拙的笨拙地不得当的不得当地
her,pron. 她（she的宾格）；她的（she的所有格）；她（指某个国家；一艘船）n. （法）埃尔（人名）
relax,vi. 放松，休息；松懈，松弛；变从容；休养vt. 放松；使休息；使松弛；缓和；使松懈
bull,"n.[动]公牛,粗壮如牛的人"
explode,vi. 爆炸，爆发；激增vt. 使爆炸；爆炸；推翻
bay,n. 海湾；狗吠声vt. 向…吠叫vi. 吠叫；大声叫嚷n. (Bay)人名；(越)七；(英、老)贝；(德、意、罗、捷、土、丹)巴伊；(匈)鲍伊；(瑞典)巴伊
rid,v. 使摆脱，使去掉n. (Rid) （俄、德、英、美）里德（人名）
evil,adj. 邪恶的；不幸的；有害的；讨厌的n. 罪恶，邪恶；不幸
saw,n. 锯；格言v. 锯；锯成；用锯；乱剪；拉锯似的来回移动v. 看见；明白，了解（see 的过去式）
winter,n. 冬季；年岁；萧条期vi. 过冬adj. 冬天的；越冬的n. (Winter)人名；(英、德、匈、罗、捷、西、芬、瑞典、法)温特
furnish,vt. 提供；供应；装备
quiver,n. 颤抖；箭袋；震动vi. 颤抖；振动vt. 使…颤动；抖动
imitate,vt. 模仿，仿效；仿造，仿制
intrinsic,adj. 本质的，固有的
advertisement,n. 广告，宣传
married,adj. 已婚的，有配偶的；婚姻的，夫妇的；密切结合的n. 已婚者v. 结婚，与…结婚（marry的过去式）
pupil,n. 学生；[解剖] 瞳孔；未成年人
auto,n. 汽车（等于automobile）；自动vi. 乘汽车n. (Auto)人名；(葡)奥托
left,adj. 左边的；左派的；剩下的adv. 在左面n. 左边；左派；激进分子v. 离开（leave的过去式）
defence,n. 防御；防卫；答辩；防卫设备
theirs,pron. 他们的，她们的，它们的；他的，她的
file,n. 文件；档案；文件夹；锉刀vt. 提出；锉；琢磨；把…归档vi. 列队行进；用锉刀锉n. (File)人名；(匈、塞)菲莱
garage,n. 车库；汽车修理厂；飞机库vt. 把……送入车库；把（汽车）开进车库n. （阿拉伯）贾拉杰（人名）
treasure,n. 财富，财产；财宝；珍品vt. 珍爱；珍藏n. (Treasure)（英、美、爱）特雷热（人名）
Polish,adj. 波兰的n. 波兰人；波兰语
compatible,adj. 兼容的；能共处的；可并立的
customer,n. 顾客；家伙
outcome,n. 结果，结局；成果
hate,vt. 憎恨；厌恶；遗憾vi. 仇恨n. 憎恨；反感n. (Hate)人名；(法)阿特
reed,n. [作物] 芦苇；簧片；牧笛；不可依靠的人vt. 用芦苇盖；用芦苇装饰n. (Reed)人名；(西、意、瑞典)雷德；(英)里德
efficient,adj. 有效率的；有能力的；生效的
alien,adj. 外国的；相异的，性质不同的；不相容的n. 外国人，外侨；外星人vt. 让渡，转让n. (Alien)人名；(法)阿利安
aunt,n. 阿姨；姑妈；伯母；舅妈
experimental,adj. 实验的；根据实验的；试验性的
Mediterranean,n. 地中海adj. 地中海的
recently,adv. 最近；新近
gently,adv. 轻轻地；温柔地，温和地
multiple,adj. 多重的；多样的；许多的n. 倍数；[电] 并联
vulgar,adj. 粗俗的；通俗的；本土的n. 平民，百姓
cite,vt. 引用；传讯；想起；表彰
principle,n. 原理，原则；主义，道义；本质，本义；根源，源泉
alliance,n. 联盟，联合；联姻
liter,n. [计量] 公升（容量单位）n. (Liter)人名；(英)利特
spiral,adj.螺旋形的n.螺旋v.盘旋
repertoire,n. 全部节目；计算机指令系统；（美）某人或机器的全部技能
wind,n. 风；呼吸；气味；卷绕vt. 缠绕；上发条；使弯曲；吹号角；绕住或缠住某人vi. 缠绕；上发条；吹响号角n. (Wind)人名；(英、德、瑞典)温德
lofty,adj. 高的；崇高的；高级的；高傲的n. (Lofty)人名；(英)洛夫蒂
criticize,vt. 批评；评论；非难vi. 批评；评论；苛求
heart,n. 心脏；感情；勇气；心形；要点vt. 鼓励；铭记vi. 结心n. (Heart)人名；(英)哈特
disposition,n. 处置；[心理] 性情；[军] 部署；倾向
minor,adj. 未成年的；次要的；较小的；小调的；二流的n. 未成年人；小调；辅修科目vi. 辅修n. (Minor)人名；(英)迈纳；(德、法、波、俄)米诺尔
sixty,num. 六十，六十个；六十几，六十年代；六十岁
employee,n. 雇员；从业员工
woman,n. 妇女；女性；成年女子
eclipse,"n.食,日蚀,月蚀,蒙蔽,衰落vt.引起日蚀,引起月蚀,超越,使黯然失色"
scrape,"n.刮,擦,擦痕,刮擦声,困境vi.刮掉,擦掉,刮出刺耳声vt.刮,擦,擦伤,挖成"
happiness,n. 幸福
consequently,adv. 因此；结果；所以
bounce,"v.(使)反跳,弹起,(指支票)被银行退票,弹跳n.(球)跳起,弹回"
wheel,n. 车轮；方向盘；转动vt. 转动；使变换方向；给…装轮子vi. 旋转；突然转变方向；盘旋飞行
mankind,n. 人类；男性
colonial,adj. 殖民的，殖民地的；（建筑，家具）殖民地时期式样的；（动物，植物）群体的；受英国殖民统治时期的n. 殖民地居民；殖民地时期式样的房屋
encounter,v. 遭遇；邂逅；遇到n. 遭遇；偶然碰见
boom,"n.繁荣,隆隆声v.发隆隆声,兴隆,大事宣传"
standpoint,n. 立场；观点
assault,n. 攻击；袭击vt. 攻击；袭击vi. 袭击；动武
jury,n. [法] 陪审团；评判委员会adj. 应急的n. (Jury)人名；(西)胡里；(英、法)朱里；(德)尤里
win,vt. 赢得；在…中获胜vi. 赢；获胜；成功n. 赢；胜利n. (Win)人名；(德、荷、缅)温；(英)温(女子教名Winifred的昵称)
calendar,n. 日历；[天] 历法；日程表vt. 将…列入表中；将…排入日程表
specialize,vi. 专门从事；详细说明；特化vt. 使专门化；使适应特殊情况；详细说明
unjust,adj. 不公平的，不公正的；非正义的
visit,"n.拜访,访问,游览,参观,(作客)逗留,视察,调查vt.拜访,访问,参观,视察,降临vi.访问,参观,闲谈"
lunar,adj. 月亮的，月球的；阴历的；银的；微亮的n. (Lunar)人名；(西)卢纳尔
usually,adv. 通常，经常
marry,vt. 嫁；娶；与……结婚vi. 结婚n. (Marry)人名；(阿拉伯)马雷；(法)马里
seller,n. 卖方，售货员n. (Seller)人名；(匈)谢勒；(西)塞列尔
trumpet,n. 喇叭；喇叭声vt. 吹喇叭；吹嘘vi. 吹喇叭；发出喇叭般的声音
preposition,n. 介词；前置词
foam,n. 泡沫；水沫；灭火泡沫vi. 起泡沫；吐白沫；起着泡沫流动vt. 使起泡沫；使成泡沫状物
sixteen,num. 十六；十六个adj. 十六的；十六个的
sexual,adj. 性的；性别的；有性的
zealous,adj. 热心的，热情的，积极的n. (Zealous)人名；(英)泽勒斯
foreigner,n. 外地人，外国人
technique,n. 技巧，技术；手法
offence,n. 犯罪；违反；过错；攻击
deal,"n.交易,(政治上的)密约,待遇,份量,口买卖vi.处理,应付,做生意vt.分配,分给(out),发牌,给予"
jeopardize,vt. 危害；使陷危地；使受危困
bid,"vt.出价,投标,祝愿,命令,吩咐n.出价,投标v.支付"
breakfast,n. 早餐；早饭vi. 吃早餐vt. 为…供应早餐
enrich,vt. 使充实；使肥沃；使富足n. (Enrich)人名；(西)恩里奇
pure,adj. 纯的；纯粹的；纯洁的；清白的；纯理论的n. (Pure)人名；(俄)普雷
choice,n. 选择；选择权；精选品adj. 精选的；仔细推敲的
exquisite,adj. 精致的；细腻的；优美的，高雅的；异常的；剧烈的n. 服饰过于讲究的男子
sale,n. 销售；出售；拍卖；销售额；廉价出售n. (Sale)人名；(意、塞、瑞典)萨莱；(英、萨摩)塞尔；(法)萨尔
purely,adv. 纯粹地；仅仅，只不过；完全地；贞淑地；清洁地
adhere,vi. 坚持；依附；粘着；追随vt. 使粘附
presumably,adv. 大概；推测起来；可假定
hundred,n. 一百；许多adj. 一百的；许多的num. 百；百个
slightly,adv. 些微地，轻微地；纤细地，瘦小的
repetition,n. 重复；背诵；副本
tourist,n. 旅行者，观光客adj. 旅游的vt. 在旅行参观vi. 旅游；观光adv. 坐旅游车厢；坐经济舱
teacher,n. 教师；导师n. (Teacher)人名；(英)蒂彻
impart,vt. 告知，传授；透露，透漏；赋予，给予（尤指抽象事物）
connection,n. 连接；关系；人脉；连接件
prayer,n. 祈祷，祷告；恳求；祈祷文
usual,adj. 通常的，惯例的；平常的
punctual,adj. 准时的，守时的；精确的
conceal,vt. 隐藏；隐瞒
salad,n. 色拉；尤指莴苣n. (Salad)人名；(阿拉伯)萨拉德
match,"n.火柴,比赛,竞赛,匹配,(足球,捧球,蓝球)比赛v.相配,相称,比赛,相比,匹配"
necessary,adj. 必要的；必需的；必然的n. 必需品n. (Necessary)（英）内塞瑟里（人名）
fasten,vt. 使固定；集中于；扎牢；强加于vi. 扣紧；抓住；集中注意力n. (Fasten)人名；(英)法森
suck,vt. 吸吮；吸取vi. 吸吮；糟糕；巴结n. 吮吸
although,conj. 尽管，虽然；但是，然而
basket,n. 篮子；（篮球比赛的）得分；一篮之量；篮筐vt. 装入篮
government,n. 政府；政体；管辖
masculine,adj. 男性的；阳性的；男子气概的n. 男性；阳性，阳性词
slaughter,"n.屠宰,残杀,屠杀v.屠宰,残杀,屠杀"
lieutenant,n. 中尉；副官；助理人员
shell,n. 壳，贝壳；炮弹；外形vi. 剥落；设定命令行解释器的位置vt. 剥皮；炮轰
sequence,n. [数][计] 序列；顺序；续发事件vt. 按顺序排好
innocent,adj. 无辜的；无罪的；无知的n. 天真的人；笨蛋n. (Innocent)人名；(英、西)因诺森特；(法)伊诺桑
dissatisfy,v. 使不满，使失望
horsepower,n. 马力（功率单位）
strip,"vt.剥,剥去n.条,带"
twice,adv. 两次；两倍
six,num. 数字6；六个；六个人（或物）一组；六岁；六点钟n. (Six) （美、德）西克斯（人名）
wound,n. 创伤，伤口vt. 使受伤vi. 受伤，伤害
however,adv. 无论如何；不管怎样（接副词或形容词）；然而；可是conj. 无论以何种方式; 不管怎样
steer,vt. 控制，引导；驾驶vi. 驾驶，掌舵；行驶n. 阉牛n. (Steer)人名；(英)斯蒂尔；(德、匈)施特尔
owe,vt. 欠；感激；应给予；应该把……归功于vi. 欠钱n. (Owe)人名；(瑞典、挪)奥弗
congratulation,n. 祝贺；贺辞
slot,n. 位置；狭槽；水沟；硬币投币口vt. 跟踪；开槽于n. (Slot)人名；(英、荷)斯洛特
Chinese,n. 中文，汉语；中国人adj. 中国的，中国人的；中国话的
