超纲词A,
abdicate,v.退位，逊位；失职，放弃（职责）
absolutely,adv.完全地；确实地；绝对地
absolutist,n.专制政体；（尤指被认为错误的）绝对主义，绝对论
academia,n.学术界
accessibility,n.易接近，可到达；学习资料利用率；可及性，可达性，可接入性
accountability,n.可说明性；应作解释；应负责任；管理责任；会计责任
accusation,n.控告，起诉，告发；谴责
adaptable,adj.有适应能力的，能适应的
adequately,adv.足够地；适当地
adherence,n.坚持；遵守，遵循
adjustment,n.（对机器、做事方法等的）调整，（对行为、思想等的）调整
admirable,adj.可钦佩的；值得赞赏的；令人羡慕的
adoptive,adj.收养的，有收养关系的
adornment,n.饰物，装饰品
advisory,adj.顾问的，咨询的，劝告的
affordable,adj.付得起的，买得起的
ageing,n.变老，苍老；变旧，老化 adj.变老的，老朽的；变旧的，老化的
aggressiveness,n.攻击性
agreed,adj.同意的，通过协议的 v.同意，赞成
alarmingly,adv.让人担忧地，惊人地
allegation,n.断言，宣称；指控
allot,v.分配，配给（时间、钱财等），分派（任务等）
amendment,n.（法律、文件的）改动，修正案，修改，修订；（美国宪法的）修正案
analyst,n.分析家，分解者
ancestry,n.祖先，世系
announcement,n.公告，布告，通告；宣布，宣告
antismoking,n./adv.禁止吸烟（的）
apparently,adv.显然；表面上地
applicant,n.申请人
appreciation,n.评价；感激
appreciative,adj.感激的，感谢的；欣赏的，赏识的
approachable,adj.平易近人的，友善的
archaeological,adj.考古学的，考古学上的
archaeologist,n.考古学家
aristocratic,adj.贵族的
arrangement,n.安排，筹备，安排方式，布置；商定，约定；整理，排列，布置
arrestee,n.被逮捕者，被拘留者
artefact,n.人工制品，手工艺品（尤指有历史或文化价值的）
ascribe,V.将…归因于，将…归属（于某人）
aspiration,n.渴望，抱负，志向
assertion,n.断言
assimilation,n.同化，同化作用
asteroid,n.小行星
attraction,n.爱慕，吸引，向往的地方，有吸引力的事/特征（或品质、人）
authorize,V.批准，授权
automobile,n.汽车
availability,n.可用性，有效性，实用性
awareness,n.知道，晓得
超纲词B,
banker,n.银行家
banking,n.银行业务；河堤
bans,n.结婚公告
beautify,v.美化，使更美丽
befriend,v.做（尤指需要帮助者）的朋友；友善对待
behavioral,adj.动作的
benefactor,n.施主，捐款人，赞助人
biased,adj.有偏见的，倾向性的，片面的； 偏重，偏向
biographer,n.传记作家
biological,adj.生物学（上）的
biologically,adv.生物学地
biologist,n.生物学家
biomedical,adj.生物医学的
biophilia,n.热爱生命（自然）的天性，人的求生本能
birthright,n.因生于某一家庭、国家等而享受 的权利，与生俱来的权利
blessing,n.幸事；同意，支持；祈福祷告 v.祝福，保佑
bodily,adj.人体的；具体的 adv.移动全身地；用力地；完全地
branding,n.品牌
breakthrough,n.突破性进展，重要的新发现
bribery,n.贿赂行为
briefly,adv.短暂地，暂时地；简短地，简要地
broadly,adv.广，宽
bureaucrat,n.官僚主义者，官僚
超纲词C,
cautiousness,adj.细心的，谨小慎微的，慎重的，警惕的
ceremonial,adj.礼仪的，礼节的，用于礼仪的 n.礼仪，礼节
characterization,n.（对人或事物的）特性描述，（戏剧、小说中的）人物性格的描述
childless,adj.无子女的
circulation,n.流通，传播，（血液等的）循环，（空气等的）流动；（报刊等的）发行，发售
citizenry,n.[总称]全体公民
citizenship,n.公民权利（或资格），公民身份（或义务）
claimant,n.要求者，索要者；（因失业等）领取救济金者
clamp,v.（用夹具）夹紧，夹住，固定；紧紧抓住，紧紧夹住，被抓住，被夹紧 n.夹具，夹子，夹钳
clearly,adv.显然地，无疑地；明确地，清楚地
clear-cut,adj.明显的，分明的，明确的
coexistence,n.共处，共存
collaborative,adj.合作的，协作的，协力完成的
commitment,n.托付，交托；承诺，保证
commonality,n.共有，公有；平民
commonly,adv.通常地，一般地，平凡地
comparatively,adv.对比地
compensatory,adj.补偿的，赔偿的，弥补的
competence,n.能力
complementary,adj.补充的，补足的
completely,adv.完整地，完全地，彻底地
complexity,n.复杂（性），错综（性）
composer,n.（尤指古典音乐的）创作者，作曲者，作曲家
composure,n.沉着，镇静，镇定
conceivably,adv.令人信服地，可相信地；想得到地
conditional,adj.附带条件的；亦....而定的n.条件句，条件从句
confirmation,n.证实；确认书，证明书；坚振礼（通常为16岁以上犹太年轻人举行的仪式）
congressional,adj.国家立法机关的，议会的
considerably,adv.相当，非常，颇
consideration,n.考虑，深思；体谅，照顾
considered,adj.经过深思熟虑的
considering,prep.conj.鉴于（某情况），考虑到（某事实）
